status,day,population
1,2006-01-31,115
1,2006-03-31,151
1,2006-04-30,183
1,2006-06-30,242
1,2006-07-31,274
1,2006-09-30,325
1,2006-10-31,366
1,2006-12-31,439
1,2007-01-31,486
1,2007-03-31,557
1,2007-04-30,596
1,2007-06-30,663
1,2007-07-31,713
1,2007-09-30,766
1,2007-10-31,830
1,2007-12-31,895
1,2008-01-31,936
1,2008-03-31,1018
1,2008-04-30,1051
1,2008-06-30,1157
1,2008-07-31,1218
1,2008-09-30,1299
1,2008-10-31,1360
1,2008-12-31,1474
1,2009-01-31,1556
1,2009-03-31,1695
1,2009-04-30,1809
1,2009-05-31,2006
1,2009-06-30,2064
1,2009-07-31,2155
1,2009-08-31,2225
1,2009-09-30,2324
1,2009-10-31,2610
1,2009-11-30,2708
1,2009-12-31,2798
1,2010-01-31,2899
1,2010-02-28,2984
1,2010-03-31,3078
1,2010-04-30,3189
1,2010-05-31,3282
1,2010-06-30,3373
1,2010-07-31,3527
1,2010-08-31,3623
1,2010-09-30,3718
1,2010-10-31,3844
1,2010-11-30,3929
1,2010-12-31,4023
1,2011-01-31,4161
1,2011-02-28,4327
1,2011-03-31,4518
1,2011-04-30,4768
1,2011-05-31,4979
1,2011-06-30,5130
1,2011-07-31,5246
1,2011-08-31,5317
1,2011-09-30,5432
1,2011-10-31,5533
1,2011-11-30,5630
1,2011-12-31,5714
1,2012-01-31,5801
2,2006-01-31,150
2,2006-03-31,163
2,2006-04-30,122
2,2006-06-30,170
2,2006-07-31,203
2,2006-09-30,185
2,2006-10-31,213
2,2006-12-31,224
2,2007-01-31,252
2,2007-03-31,238
2,2007-04-30,269
2,2007-06-30,314
2,2007-07-31,335
2,2007-09-30,207
2,2007-10-31,194
2,2007-12-31,245
2,2008-01-31,273
2,2008-03-31,295
2,2008-04-30,389
2,2008-06-30,481
2,2008-07-31,441
2,2008-09-30,350
2,2008-10-31,348
2,2008-12-31,344
2,2009-01-31,365
2,2009-03-31,463
2,2009-04-30,449
2,2009-05-31,426
2,2009-06-30,507
2,2009-07-31,463
2,2009-08-31,373
2,2009-09-30,426
2,2009-10-31,392
2,2009-11-30,379
2,2009-12-31,371
2,2010-01-31,179
2,2010-02-28,268
2,2010-03-31,339
2,2010-04-30,372
2,2010-05-31,366
2,2010-06-30,286
2,2010-07-31,409
2,2010-08-31,384
2,2010-09-30,425
2,2010-10-31,393
2,2010-11-30,312
2,2010-12-31,330
2,2011-01-31,343
2,2011-02-28,376
2,2011-03-31,451
2,2011-04-30,452
2,2011-05-31,546
2,2011-06-30,481
2,2011-07-31,566
2,2011-08-31,604
2,2011-09-30,588
2,2011-10-31,582
2,2011-11-30,618
2,2011-12-31,468
2,2012-01-31,513
3,2006-01-31,451
3,2006-03-31,520
3,2006-04-30,477
3,2006-06-30,633
3,2006-07-31,590
3,2006-09-30,545
3,2006-10-31,565
3,2006-12-31,518
3,2007-01-31,744
3,2007-03-31,930
3,2007-04-30,800
3,2007-06-30,860
3,2007-07-31,987
3,2007-09-30,857
3,2007-10-31,923
3,2007-12-31,801
3,2008-01-31,1100
3,2008-03-31,994
3,2008-04-30,1032
3,2008-06-30,1098
3,2008-07-31,1170
3,2008-09-30,969
3,2008-10-31,1056
3,2008-12-31,1040
3,2009-01-31,1275
3,2009-03-31,1348
3,2009-04-30,1198
3,2009-05-31,946
3,2009-06-30,1139
3,2009-07-31,1188
3,2009-08-31,1024
3,2009-09-30,1176
3,2009-10-31,1024
3,2009-11-30,931
3,2009-12-31,833
3,2010-01-31,639
3,2010-02-28,634
3,2010-03-31,927
3,2010-04-30,970
3,2010-05-31,826
3,2010-06-30,903
3,2010-07-31,865
3,2010-08-31,861
3,2010-09-30,1009
3,2010-10-31,852
3,2010-11-30,593
3,2010-12-31,561
3,2011-01-31,816
3,2011-02-28,860
3,2011-03-31,975
3,2011-04-30,926
3,2011-05-31,1005
3,2011-06-30,934
3,2011-07-31,858
3,2011-08-31,782
3,2011-09-30,944
3,2011-10-31,910
3,2011-11-30,973
3,2011-12-31,746
3,2012-01-31,745
4,2006-01-31,93
4,2006-03-31,138
4,2006-04-30,142
4,2006-06-30,158
4,2006-07-31,193
4,2006-09-30,220
4,2006-10-31,283
4,2006-12-31,372
4,2007-01-31,391
4,2007-03-31,412
4,2007-04-30,425
4,2007-06-30,512
4,2007-07-31,618
4,2007-09-30,784
4,2007-10-31,817
4,2007-12-31,750
4,2008-01-31,812
4,2008-03-31,987
4,2008-04-30,1048
4,2008-06-30,1026
4,2008-07-31,1261
4,2008-09-30,1537
4,2008-10-31,1647
4,2008-12-31,1652
4,2009-01-31,1777
4,2009-03-31,1610
4,2009-04-30,1421
4,2009-05-31,1469
4,2009-06-30,1178
4,2009-07-31,1284
4,2009-08-31,1814
4,2009-09-30,1690
4,2009-10-31,2091
4,2009-11-30,1914
4,2009-12-31,1945
4,2010-01-31,3522
4,2010-02-28,3592
4,2010-03-31,2786
4,2010-04-30,2463
4,2010-05-31,1972
4,2010-06-30,1751
4,2010-07-31,1762
4,2010-08-31,1481
4,2010-09-30,1610
4,2010-10-31,1683
4,2010-11-30,1590
4,2010-12-31,2051
4,2011-01-31,1975
4,2011-02-28,2462
4,2011-03-31,1666
4,2011-04-30,1543
4,2011-05-31,1405
4,2011-06-30,1794
4,2011-07-31,2210
4,2011-08-31,1959
4,2011-09-30,2505
4,2011-10-31,2080
4,2011-11-30,1662
4,2011-12-31,2120
4,2012-01-31,2223
5,2006-01-31,332
5,2006-03-31,342
5,2006-04-30,341
5,2006-06-30,458
5,2006-07-31,461
5,2006-09-30,577
5,2006-10-31,617
5,2006-12-31,696
5,2007-01-31,652
5,2007-03-31,768
5,2007-04-30,807
5,2007-06-30,914
5,2007-07-31,1004
5,2007-09-30,1242
5,2007-10-31,1392
5,2007-12-31,1657
5,2008-01-31,1857
5,2008-03-31,2281
5,2008-04-30,2503
5,2008-06-30,2854
5,2008-07-31,2967
5,2008-09-30,3349
5,2008-10-31,3538
5,2008-12-31,3844
5,2009-01-31,3724
5,2009-03-31,3698
5,2009-04-30,3740
5,2009-05-31,3885
5,2009-06-30,3919
5,2009-07-31,3903
5,2009-08-31,4163
5,2009-09-30,4112
5,2009-10-31,4289
5,2009-11-30,4401
5,2009-12-31,4336
5,2010-01-31,4692
5,2010-02-28,5406
5,2010-03-31,5001
5,2010-04-30,4463
5,2010-05-31,3863
5,2010-06-30,3464
5,2010-07-31,3619
5,2010-08-31,3835
5,2010-09-30,3862
5,2010-10-31,3879
5,2010-11-30,4150
5,2010-12-31,4209
5,2011-01-31,3866
5,2011-02-28,3485
5,2011-03-31,3231
5,2011-04-30,3291
5,2011-05-31,3506
5,2011-06-30,3702
5,2011-07-31,3806
5,2011-08-31,3782
5,2011-09-30,3948
5,2011-10-31,3944
5,2011-11-30,3900
5,2011-12-31,3913
5,2012-01-31,3880
6,2006-01-31,696
6,2006-03-31,885
6,2006-04-30,985
6,2006-06-30,1197
6,2006-07-31,1318
6,2006-09-30,1632
6,2006-10-31,1713
6,2006-12-31,2036
6,2007-01-31,2191
6,2007-03-31,2458
6,2007-04-30,2603
6,2007-06-30,3030
6,2007-07-31,3181
6,2007-09-30,3425
6,2007-10-31,3469
6,2007-12-31,3790
6,2008-01-31,3889
6,2008-03-31,4109
6,2008-04-30,4286
6,2008-06-30,5156
6,2008-07-31,5332
6,2008-09-30,5534
6,2008-10-31,5584
6,2008-12-31,5968
6,2009-01-31,6205
6,2009-03-31,6947
6,2009-04-30,7533
6,2009-05-31,7845
6,2009-06-30,8491
6,2009-07-31,8809
6,2009-08-31,8622
6,2009-09-30,8960
6,2009-10-31,8757
6,2009-11-30,9212
6,2009-12-31,9400
6,2010-01-31,7893
6,2010-02-28,7544
6,2010-03-31,7967
6,2010-04-30,8504
6,2010-05-31,9334
6,2010-06-30,9794
6,2010-07-31,10025
6,2010-08-31,10614
6,2010-09-30,10769
6,2010-10-31,11057
6,2010-11-30,11364
6,2010-12-31,10995
6,2011-01-31,11210
6,2011-02-28,10954
6,2011-03-31,12050
6,2011-04-30,12492
6,2011-05-31,13025
6,2011-06-30,13078
6,2011-07-31,13047
6,2011-08-31,13655
6,2011-09-30,13579
6,2011-10-31,14351
6,2011-11-30,15009
6,2011-12-31,14891
6,2012-01-31,14759
7,2006-01-31,1528
7,2006-03-31,1827
7,2006-04-30,2105
7,2006-06-30,2430
7,2006-07-31,2653
7,2006-09-30,2986
7,2006-10-31,3069
7,2006-12-31,3166
7,2007-01-31,3217
7,2007-03-31,3728
7,2007-04-30,4130
7,2007-06-30,4503
7,2007-07-31,4618
7,2007-09-30,5158
7,2007-10-31,5248
7,2007-12-31,5609
7,2008-01-31,5459
7,2008-03-31,5675
7,2008-04-30,5611
7,2008-06-30,5513
7,2008-07-31,5591
7,2008-09-30,5529
7,2008-10-31,5575
7,2008-12-31,5434
7,2009-01-31,5768
7,2009-03-31,6515
7,2009-04-30,6857
7,2009-05-31,6951
7,2009-06-30,6980
7,2009-07-31,7063
7,2009-08-31,7112
7,2009-09-30,7038
7,2009-10-31,7189
7,2009-11-30,7186
7,2009-12-31,7255
7,2010-01-31,6818
7,2010-02-28,5900
7,2010-03-31,5941
7,2010-04-30,6438
7,2010-05-31,6911
7,2010-06-30,7018
7,2010-07-31,7085
7,2010-08-31,7087
7,2010-09-30,7117
7,2010-10-31,7229
7,2010-11-30,7029
7,2010-12-31,6735
7,2011-01-31,6828
7,2011-02-28,7301
7,2011-03-31,7431
7,2011-04-30,7423
7,2011-05-31,7317
7,2011-06-30,7476
7,2011-07-31,7490
7,2011-08-31,7538
7,2011-09-30,7340
7,2011-10-31,7427
7,2011-11-30,7424
7,2011-12-31,7513
7,2012-01-31,7324
8,2006-01-31,89
8,2006-03-31,101
8,2006-04-30,128
8,2006-06-30,157
8,2006-07-31,150
8,2006-09-30,188
8,2006-10-31,202
8,2006-12-31,231
8,2007-01-31,252
8,2007-03-31,354
8,2007-04-30,405
8,2007-06-30,469
8,2007-07-31,503
8,2007-09-30,640
8,2007-10-31,723
8,2007-12-31,902
8,2008-01-31,966
8,2008-03-31,1077
8,2008-04-30,1111
8,2008-06-30,1167
8,2008-07-31,1199
8,2008-09-30,1493
8,2008-10-31,1600
8,2008-12-31,1847
8,2009-01-31,1759
8,2009-03-31,1748
8,2009-04-30,1692
8,2009-05-31,1603
8,2009-06-30,1677
8,2009-07-31,1742
8,2009-08-31,1817
8,2009-09-30,1929
8,2009-10-31,1938
8,2009-11-30,1981
8,2009-12-31,2088
8,2010-01-31,2342
8,2010-02-28,2721
8,2010-03-31,3316
8,2010-04-30,3341
8,2010-05-31,3304
8,2010-06-30,3335
8,2010-07-31,3250
8,2010-08-31,3273
8,2010-09-30,3274
8,2010-10-31,3237
8,2010-11-30,3346
8,2010-12-31,3484
8,2011-01-31,3561
8,2011-02-28,3516
8,2011-03-31,3419
8,2011-04-30,3317
8,2011-05-31,3202
8,2011-06-30,3174
8,2011-07-31,3196
8,2011-08-31,3367
8,2011-09-30,3397
8,2011-10-31,3576
8,2011-11-30,3833
8,2011-12-31,4078
8,2012-01-31,4500
9,2006-01-31,578
9,2006-03-31,725
9,2006-04-30,759
9,2006-06-30,929
9,2006-07-31,1004
9,2006-09-30,1215
9,2006-10-31,1258
9,2006-12-31,1502
9,2007-01-31,1521
9,2007-03-31,1787
9,2007-04-30,1881
9,2007-06-30,2169
9,2007-07-31,2367
9,2007-09-30,2756
9,2007-10-31,2790
9,2007-12-31,3066
9,2008-01-31,3193
9,2008-03-31,3899
9,2008-04-30,4164
9,2008-06-30,4501
9,2008-07-31,4730
9,2008-09-30,5765
9,2008-10-31,5202
9,2008-12-31,5570
9,2009-01-31,5970
9,2009-03-31,6467
9,2009-04-30,7188
9,2009-05-31,8418
9,2009-06-30,9097
9,2009-07-31,10046
9,2009-08-31,10355
9,2009-09-30,11014
9,2009-10-31,11873
9,2009-11-30,12254
9,2009-12-31,12530
9,2010-01-31,12708
9,2010-02-28,12876
9,2010-03-31,13170
9,2010-04-30,13472
9,2010-05-31,13752
9,2010-06-30,13986
9,2010-07-31,14357
9,2010-08-31,14515
9,2010-09-30,14949
9,2010-10-31,15553
9,2010-11-30,15854
9,2010-12-31,16189
9,2011-01-31,16442
9,2011-02-28,16609
9,2011-03-31,17020
9,2011-04-30,17580
9,2011-05-31,17796
9,2011-06-30,18004
9,2011-07-31,18241
9,2011-08-31,18579
9,2011-09-30,18719
9,2011-10-31,18969
9,2011-11-30,19316
9,2011-12-31,19565
9,2012-01-31,19791
10,2006-01-31,1342
10,2006-03-31,1570
10,2006-04-30,1615
10,2006-06-30,1854
10,2006-07-31,1951
10,2006-09-30,2290
10,2006-10-31,2389
10,2006-12-31,2880
10,2007-01-31,3076
10,2007-03-31,3497
10,2007-04-30,3564
10,2007-06-30,3994
10,2007-07-31,4210
10,2007-09-30,4910
10,2007-10-31,5144
10,2007-12-31,5732
10,2008-01-31,6138
10,2008-03-31,6408
10,2008-04-30,6613
10,2008-06-30,7170
10,2008-07-31,7521
10,2008-09-30,8131
10,2008-10-31,8768
10,2008-12-31,9627
10,2009-01-31,9779
10,2009-03-31,10226
10,2009-04-30,10066
10,2009-05-31,9473
10,2009-06-30,9674
10,2009-07-31,9430
10,2009-08-31,9724
10,2009-09-30,9861
10,2009-10-31,9523
10,2009-11-30,9784
10,2009-12-31,10252
10,2010-01-31,10858
10,2010-02-28,11305
10,2010-03-31,11763
10,2010-04-30,12123
10,2010-05-31,12632
10,2010-06-30,13246
10,2010-07-31,13205
10,2010-08-31,13371
10,2010-09-30,13375
10,2010-10-31,13341
10,2010-11-30,13569
10,2010-12-31,13793
10,2011-01-31,14076
10,2011-02-28,14296
10,2011-03-31,14472
10,2011-04-30,14409
10,2011-05-31,14530
10,2011-06-30,14534
10,2011-07-31,14605
10,2011-08-31,14554
10,2011-09-30,14693
10,2011-10-31,14768
10,2011-11-30,14788
10,2011-12-31,14978
10,2012-01-31,15304
